Original_X,L2_X,L3_X,TLC_X,Original_CX,L2_CX,L3_CX,TLC_CX,Original_Layers,L2_Layers,L3_Layers,TLC_Layers,L2_Time,L3_Time,TLC_Time,Original_Cost,L2_Cost,L3_Cost,TLC_Cost,L3_Unitary,TLC_Unitary,L3_Unitary_X,TLC_Unitary_X,L3_Unitary_CX,TLC_Unitary_CX,L3_Unitary_CCX,TLC_Unitary_CCX,Template_Matched,Template_Matching_Time,Template_Substitution_Time,Optimization_Pass_Time
8,0,0,0,3,1,1,1,5,1,1,1,0.0010797977447509766,0.0017390251159667969,0.013215065002441406,14,2,2,2,0,0,0,0,0,0,0,0,False,0.0011260509490966797,0,0.0021257400512695312
8,2,2,1,3,3,3,1,5,3,3,3,0.0012359619140625,0.0023708343505859375,0.05158710479736328,14,8,8,5,0,1,0,2,0,0,0,0,False,0.037600040435791016,0,0.0028998851776123047
8,0,0,0,3,3,3,3,5,3,3,3,0.0012485980987548828,0.0022268295288085938,0.020406007766723633,14,6,6,6,0,0,0,0,0,0,0,0,False,0.006319999694824219,0,0.003231048583984375
8,2,2,2,3,3,3,3,5,3,3,5,0.001394033432006836,0.0024666786193847656,0.0505220890045166,14,8,8,8,0,0,0,0,0,0,0,0,False,0.0356745719909668,0,0.0036649703979492188
8,2,2,2,3,3,3,3,5,3,3,4,0.0014011859893798828,0.0024678707122802734,0.052726030349731445,14,8,8,8,0,0,0,0,0,0,0,0,False,0.03655815124511719,0,0.00382232666015625
8,2,2,2,3,3,3,3,5,3,3,5,0.0015370845794677734,0.0027730464935302734,0.05297684669494629,14,8,8,8,0,0,0,0,0,0,0,0,False,0.03637194633483887,0,0.0038666725158691406
7,1,1,1,3,1,1,1,5,2,2,2,0.0012481212615966797,0.002112150192260742,0.019058942794799805,13,3,3,3,0,0,0,0,0,0,0,0,False,0.005186796188354492,0,0.0027158260345458984
7,1,1,0,3,3,3,1,5,3,3,2,0.0012578964233398438,0.002651691436767578,0.032013893127441406,13,7,7,4,0,1,0,2,0,0,0,0,False,0.017338037490844727,0,0.003179788589477539
7,1,1,1,3,3,3,3,5,3,3,3,0.001519918441772461,0.0025720596313476562,0.03324294090270996,13,7,7,7,0,0,0,0,0,0,0,0,False,0.01758408546447754,0,0.0034627914428710938
7,1,1,1,3,3,3,3,5,3,3,4,0.0013318061828613281,0.002538919448852539,0.030508995056152344,13,7,7,7,0,0,0,0,0,0,0,0,False,0.015246391296386719,0,0.0032629966735839844
7,1,1,1,3,3,3,3,5,3,3,4,0.001360177993774414,0.0026848316192626953,0.03218817710876465,13,7,7,7,0,0,0,0,0,0,0,0,False,0.01621079444885254,0,0.0035638809204101562
7,1,1,1,3,3,3,3,5,3,3,4,0.0016379356384277344,0.0027658939361572266,0.030185222625732422,13,7,7,7,0,0,0,0,0,0,0,0,False,0.015459299087524414,0,0.003130674362182617
10,2,2,2,2,2,2,2,5,3,3,3,0.0012600421905517578,0.0021567344665527344,0.041224002838134766,14,6,6,6,0,0,0,0,0,0,0,0,False,0.027013540267944336,0,0.0030951499938964844
9,3,3,3,2,2,2,2,5,3,3,4,0.0015180110931396484,0.0023031234741210938,0.07174396514892578,13,7,7,7,0,0,0,0,0,0,0,0,False,0.05724835395812988,0,0.003172636032104492
9,1,1,1,2,2,2,2,5,3,3,3,0.0011610984802246094,0.002343893051147461,0.025082111358642578,13,5,5,5,0,0,0,0,0,0,0,0,False,0.011218786239624023,0,0.0030128955841064453
9,1,1,1,2,2,2,2,5,3,3,2,0.0012340545654296875,0.0023097991943359375,0.02660202980041504,13,5,5,5,0,0,0,0,0,0,0,0,False,0.011912107467651367,0,0.0032901763916015625
8,2,2,2,2,2,2,2,5,3,3,3,0.001283884048461914,0.002501249313354492,0.042952775955200195,12,6,6,6,0,0,0,0,0,0,0,0,False,0.02807474136352539,0,0.002975940704345703
