Num_Qubits,Num_Layers,Original_X,L2_X,L3_X,TLC_X,Original_CX,L2_CX,L3_CX,TLC_CX,Original_CCX,L2_CCX,Original_Layers,L2_Layers,L3_Layers,TLC_Layers,L2_Time,L3_Time,TLC_Time,Original_Cost,L2_Cost,L3_Cost,TLC_Cost,L3_Unitary,TLC_Unitary,L3_Unitary_X,TLC_Unitary_X,L3_Unitary_CX,TLC_Unitary_CX,L3_Unitary_CCX,TLC_Unitary_CCX,Template_Matched,Template_Matching_Time,Template_Substitution_Time,Optimization_Pass_Time
10,15,19,19,16,8,17,17,105,105,15,15,15,15,91,99,0.0061550140380859375,0.027637004852294922,134.0695869922638,368,368,361,357,1,1,4,4,1,1,0,0,False,133.91538381576538,0,0.04051709175109863
10,15,20,20,19,16,27,27,54,50,5,5,15,15,42,46,0.004445075988769531,0.015246868133544922,89.71880292892456,179,179,181,179,1,3,6,14,2,4,0,0,False,89.6385862827301,0,0.02528691291809082
10,15,18,18,16,16,23,23,69,50,8,8,15,15,67,46,0.00494384765625,0.018795013427734375,95.49755692481995,232,232,229,179,1,3,4,14,1,4,0,0,True,95.32224869728088,0.040845632553100586,0.03925895690917969
10,15,23,23,20,13,24,24,88,84,11,11,15,15,73,91,0.0061168670654296875,0.023553133010864258,97.84173011779785,302,302,299,289,1,3,4,10,1,2,0,0,True,97.57256150245667,0.0659325122833252,0.05366706848144531
10,15,15,15,13,13,23,23,56,56,6,6,15,15,50,53,0.00462794303894043,0.01645493507385254,61.10761284828186,187,187,182,182,1,1,4,4,1,1,0,0,False,61.032049894332886,0,0.022705793380737305
10,15,23,23,19,8,13,13,91,91,13,13,15,15,69,76,0.005602121353149414,0.024261951446533203,156.1303837299347,322,322,320,316,0,0,0,0,0,0,0,0,False,155.99513792991638,0,0.03480982780456543
10,15,23,23,18,14,15,15,82,80,12,12,15,15,74,71,0.00570988655090332,0.02320694923400879,132.9582941532135,305,305,299,296,2,3,10,14,3,4,0,0,False,132.83785915374756,0,0.0340728759765625
10,15,13,13,8,5,14,14,80,78,11,11,15,15,74,84,0.005012035369873047,0.0216519832611084,61.882339000701904,272,272,266,263,0,1,0,4,0,1,0,0,False,61.78028321266174,0,0.03110194206237793
10,15,18,18,11,7,18,18,115,115,17,17,15,15,102,118,0.007052183151245117,0.030952930450439453,128.68748378753662,411,411,400,392,2,2,8,8,2,2,0,0,False,128.51794409751892,0,0.045052289962768555
10,15,19,19,15,9,17,17,77,77,10,10,15,15,77,74,0.005069255828857422,0.02048802375793457,72.27978205680847,263,263,260,258,0,0,0,0,0,0,0,0,True,72.06170296669006,0.05271577835083008,0.044322967529296875
10,15,21,21,16,13,24,24,72,72,8,8,15,15,64,64,0.005295753479003906,0.019001007080078125,100.3785331249237,237,237,233,233,0,0,0,0,0,0,0,0,False,100.28330159187317,0,0.027275800704956055
10,15,15,15,9,8,16,16,112,112,18,18,15,15,99,111,0.006963968276977539,0.031609296798706055,96.81885695457458,425,425,415,408,4,4,22,22,7,7,0,0,False,96.65016555786133,0,0.04573774337768555
10,15,18,18,16,9,17,17,95,95,13,13,15,15,88,91,0.005922079086303711,0.025323867797851562,138.62360191345215,325,325,321,314,0,0,0,0,0,0,0,0,False,138.48793125152588,0,0.03637552261352539
10,15,17,17,11,7,16,16,94,94,14,14,15,15,84,99,0.006007671356201172,0.026153087615966797,94.72817206382751,343,343,335,334,2,2,12,12,4,4,0,0,False,94.59609413146973,0,0.037915945053100586
10,10,5,5,3,3,15,15,58,58,8,8,10,10,48,48,0.0048370361328125,0.018465042114257812,21.07782816886902,203,203,200,196,2,2,10,10,3,3,0,0,False,21.00686550140381,0,0.02589726448059082
10,10,13,13,10,9,12,12,66,66,9,9,10,10,65,68,0.0047130584716796875,0.018156051635742188,60.194904804229736,226,226,221,220,0,0,0,0,0,0,0,0,False,60.10680174827576,0,0.02649688720703125
10,10,8,8,5,3,5,5,80,80,13,13,10,10,73,77,0.0047109127044677734,0.022804975509643555,41.88352823257446,291,291,287,282,1,1,6,6,2,2,0,0,False,41.77793860435486,0,0.032460927963256836
10,10,8,8,6,5,16,16,50,50,6,6,10,10,48,50,0.004334211349487305,0.014847040176391602,24.67577075958252,166,166,165,165,1,1,4,4,1,1,0,0,False,24.61269521713257,0,0.021177291870117188
10,10,12,12,11,8,13,13,49,49,6,6,10,10,47,48,0.004354953765869141,0.014866113662719727,39.541110038757324,164,164,163,162,0,0,0,0,0,0,0,0,False,39.475295066833496,0,0.019713163375854492
10,10,12,12,9,7,12,12,60,60,8,8,10,10,63,75,0.004185199737548828,0.01878213882446289,41.730002880096436,204,204,202,198,0,0,0,0,0,0,0,0,False,41.65158271789551,0,0.026560306549072266
10,10,11,11,9,6,14,14,54,54,7,7,10,10,50,50,0.004492044448852539,0.01588273048400879,43.29752016067505,186,186,184,183,1,1,4,4,1,1,0,0,False,43.22796130180359,0,0.022565841674804688
10,10,13,13,11,7,15,15,48,46,6,6,10,10,51,55,0.004520893096923828,0.014497041702270508,39.541131019592285,169,169,165,163,1,2,4,8,1,2,0,0,False,39.475464820861816,0,0.02105712890625
10,10,13,13,11,7,11,11,41,41,5,5,10,10,42,44,0.004043102264404297,0.012384653091430664,36.693016052246094,140,140,139,139,0,0,0,0,0,0,0,0,False,36.635026693344116,0,0.01869988441467285
10,10,13,13,12,11,14,14,68,68,9,9,10,10,66,58,0.005027055740356445,0.018451929092407227,73.21670293807983,230,230,228,225,0,0,0,0,0,0,0,0,False,73.1270182132721,0,0.026325225830078125
10,10,11,11,9,7,17,17,57,41,7,7,10,10,52,44,0.005219936370849609,0.016277074813842773,36.49166488647461,192,192,187,139,1,0,2,0,0,0,0,0,False,36.434187173843384,0,0.019122838973999023
10,10,13,13,10,8,14,14,47,47,6,6,10,10,44,38,0.004117012023925781,0.01473093032836914,41.20919704437256,167,167,164,162,1,1,6,6,2,2,0,0,False,41.14545297622681,0,0.020730018615722656
10,10,14,14,8,7,17,17,56,56,8,8,10,10,51,53,0.005299091339111328,0.01714491844177246,39.10170292854309,216,216,202,198,3,3,12,12,3,3,0,0,False,39.02607798576355,0,0.025301218032836914
10,10,16,16,10,3,12,12,75,75,11,11,10,10,56,63,0.004750967025756836,0.020816802978515625,40.30529594421387,271,271,269,262,1,1,6,6,2,2,0,0,True,40.095224142074585,0.04956388473510742,0.04715704917907715
10,10,10,10,7,3,12,12,74,72,11,11,10,10,61,61,0.005466938018798828,0.021531105041503906,51.079208850860596,265,265,261,256,2,3,8,12,2,3,0,0,False,50.98443865776062,0,0.03029036521911621
10,10,10,10,6,2,14,14,81,79,12,12,10,10,61,86,0.005220890045166016,0.022490978240966797,47.627466917037964,290,290,282,279,2,3,8,12,2,3,0,0,False,47.52210807800293,0,0.03328108787536621
10,10,10,10,5,4,13,13,59,59,9,9,10,10,53,54,0.0044400691986083984,0.018413066864013672,30.9202778339386,225,225,217,215,3,3,12,12,3,3,0,0,False,30.84205436706543,0,0.026094913482666016
10,10,10,10,9,8,16,16,50,48,6,6,10,10,43,45,0.0043048858642578125,0.01485896110534668,36.64602613449097,168,168,165,165,1,2,4,8,1,2,0,0,False,36.5815532207489,0,0.02164745330810547
10,10,11,11,6,4,14,14,60,60,8,8,10,10,53,64,0.00483393669128418,0.017220258712768555,38.03213119506836,207,207,203,201,1,1,4,4,1,1,0,0,False,37.95871329307556,0,0.02456808090209961
10,10,11,11,10,6,15,15,51,51,6,6,10,10,41,46,0.003840923309326172,0.015347003936767578,31.799676179885864,167,167,166,164,0,0,0,0,0,0,0,0,True,31.67763924598694,0.023799896240234375,0.0319671630859375
10,10,15,15,10,7,11,11,71,71,10,10,10,10,66,69,0.0051310062408447266,0.3172578811645508,63.109034061431885,247,247,241,237,0,0,0,0,0,0,0,0,False,63.01441836357117,0,0.02933812141418457
10,10,14,14,10,5,11,11,53,53,7,7,10,10,48,53,0.0037441253662109375,0.015044927597045898,41.27301502227783,183,183,181,180,0,0,0,0,0,0,0,0,False,41.20470929145813,0,0.021810054779052734
10,10,13,13,11,7,14,14,66,66,9,9,10,10,55,64,0.004893064498901367,0.01941990852355957,55.495546102523804,230,230,226,225,1,1,4,4,1,1,0,0,False,55.40982007980347,0,0.027131080627441406
